,urname,svname,rkpo,characterId,adventurename,adventurelevel,resist,physical_defense,magical_defense,weapon,jacket,shoulder,pants,shoes,waist,amulet,wrist,ring,support,magicstone,earring,fusion ring
4070,폭풍우가인다,cain,"33,089",1aba2f79ccb2a8211431078513b3a1cf,젠슨황,7.0,89.0,28.9,32.5,근원을 삼킨 광검,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,미지의 황금비석,근원을 삼킨 광검,흑룡 : 끝없는 암흑의 굴레
4071,김녀..ㄴ,bakal,"33,089",0b07ace6c3d5fa44d68229e9c1a9dc60,패밀리김,39.0,299.0,31.4,30.2,결전의 배틀액스 - 이단심판관,쉐도우블랙 슈트,아픔을 감싸는 위엄,평화를 수호하는 윙 레깅스,사이버틱 스피드 부츠,익스펜션 서플라이 벨트,임펄스 트리거,찰나를 스치는 흐름,어댑터블 투톤 링,옵티컬 컴뱃 글래스,언비튼 메달,아크로매틱 룸버스,천계 연합군 : 밝게 빛나는 희망
4072,하얀뱁새부엉,hilder,"33,089",0fdf1d700564c61a3c2d4fd2d6bb3220,l뱁새부엉l,42.0,107.0,30.9,30.1,,,,,,,,,,,,,
4073,까약!,cain,"33,089",1d0be036195691af105299b61cf50d95,합격가보자,10.0,89.0,31.1,36.4,근원을 삼킨 리볼버,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
4074,고검돌,prey,"33,089",607e01d26b7df090cc030d8ebbd7eef2,SG07,3.0,124.0,20.9,25.3,,,,,,,,,,,,,
4075,인챈콩익,diregie,"33,089",64bb46bca0e046f2663e838ad280f50d,콩익인간,38.0,116.0,31.4,27.6,결전의 빗자루 - 인챈트리스,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,무뎌지는 둔화된 변화,서드 스페이드 - 데스,용살자의 증표 - 용골 뿔피리,어둠을 먹는 심장,폭발형 : 소형 전술 플레어,
4076,귀낼름,cain,"33,089",53465650bb07df4e42151e09fbb805c3,곧그들이온다,21.0,44.0,29.2,34.8,,,,,,,,,,,,,
4077,쫄깃한미시,hilder,"33,089",58654b4a22eaaeca988d3523d9f196a5,꽃길걷는,38.0,79.0,35.2,33.4,,,,,,,,,,,,,
4078,[OneTool],cain,"33,089",e4051a13aa7359bafe292158fd890b8e,OneTool,40.0,69.0,30.2,33.5,,,,,,,,,,,,,
4079,독뱅이,casillas,"33,089",e3503651e73a1e39a5bdbffc8e394ff3,격천,28.0,-26.0,30.6,29.9,,,,,,,,,,,,,
4080,안글러먹음,bakal,"33,089",e1ca7f093a1bf012e2f2a209b770e606,빛쟁이차차,2.0,54.0,34.5,39.0,근원을 삼킨 도,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
4081,『검신,bakal,"33,089",e2f87a0c070c2603ef72b268d8164710,전국학주협회,43.0,119.0,28.7,33.3,,,,,,,,,,,,,
4082,밤쿤마신,hilder,"33,089",f21176f0691b003c2f5ef61b156f4e69,밤쿤쨩,40.0,109.0,32.5,35.0,,,,,,,,,,,,,
4083,황광나트,cain,"33,089",f221585dd22351c273c1ea6acc80722b,택랑,41.0,-21.0,22.3,30.3,,,,,,,,,,,,,
4084,어째그럼?,casillas,"33,089",ddfc858a64ddefc6e3c7ca706c7b4b18,농약한잔의여유,40.0,44.0,20.8,29.1,,,,,,,,,,,,,
4085,AYUNiD,prey,"33,089",47e0db98b96a2895579246d703263ae4,ArchmageMyre,40.0,29.0,32.4,33.5,,,,,,,,,,,,,
4086,천류주연,prey,"33,088",d1cbe377ae93565b4bed3c584771bbb6,환상전선,41.0,149.0,24.9,30.1,근원을 삼킨 보우건,아머드 파워 상의,데저트 컨실멘트 숄더,무대의 화려함,내딛는 용기,영면을 위한 준비,푸른 자연의 씨앗,포인트 레이더 암릿,어댑터블 투톤 링,불길한 데칼코마니 석판,언비튼 메달,아크로매틱 룸버스,
4087,달의인트루더,bakal,"33,088",d268cf11f3fadd2674a7608d03a92311,달의모험서,41.0,161.0,31.9,35.3,근원을 삼킨 자동권총,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,무뎌지는 둔화된 변화,뚜렷해지는 소멸된 사념,옵티컬 컴뱃 글래스,거짓 속의 거짓,폭발형 : 소형 전술 플레어,금룡 : 무한한 빛의 결계
4088,미르염제,hilder,"33,088",daeb42c636ebc416e4965b81cc77866e,미르엔터,38.0,99.0,28.8,29.6,,,,,,,,,,,,,
4089,갑돌단원갑순,cain,"33,088",cab8bba5768ac7c0aba28d3f076cca86,김갑돌의역습,12.0,74.0,33.0,28.0,,,,,,,,,,,,,
4090,놀아보세짜잔,prey,"33,088",59546c8efb622cd49959e87a57d2adf0,놀아보세야호,37.0,34.0,38.3,39.1,결전의 선현궁 - 뮤즈,고귀한 신의,주체할 수 없는 낡은 규칙,언리밋 사이버네틱,내딛는 용기,쿨링 서포트 벨트,폭룡왕의 지배 - 공포,생명이 담긴 가죽 토시,뚜렷해지는 소멸된 사념,굴착 강화 파츠,생명이 깃든 초록빛 액체,시각의 관점,흑룡 : 끝없는 암흑의 굴레
4091,나쵸네,cain,"33,088",62b6369978bdd94f363bb77be0f23b54,나쵸네,38.0,131.0,30.0,36.9,,,,,,,,,,,,,
4092,디멘션x레오,cain,"33,088",094f9e433eb555ebf80a47e7703a8d51,모노모키,43.0,-16.0,31.8,38.4,,,,,,,,,,,,,
4093,도해일리,cain,"33,088",019b1e03b56e590aaf279ce09e0e4564,그거아시나요,39.0,44.0,29.9,37.5,,,,,,,,,,,,,
4094,OverMind★,prey,"33,088",0319ea3f5abb001cea35af738e523e0a,SwarmOfHeart,39.0,220.0,28.9,40.5,근원을 삼킨 로드,컨퓨즈드 코어 슈트,아픔을 감싸는 위엄,숲속의 마녀 하의,일렉트릭 프루프 부츠,파괴된 신념,기품의 금빛 장신구,찬란한 금장 팔찌,뜨거운 열망의 증표,옵티컬 컴뱃 글래스,피어오르는 광기,눈물이 스민 보석,천계 연합군 : 밝게 빛나는 희망
4095,예린백,prey,"33,088",0fa67bc00cc39eb78c56623e31699b3f,ATISPAUS,39.0,158.0,32.7,27.4,,,,,,,,,,,,,
4096,애옹다옹,diregie,"33,088",7f3678852c0444e2fe1b0c61c101bdec,DaveALive,38.0,109.0,30.3,27.0,결전의 십자가 - 크루세이더(여),쉐도우블랙 슈트,주체할 수 없는 낡은 규칙,언리밋 사이버네틱,내딛는 용기,쿨링 서포트 벨트,잠겨진 영역,생명이 담긴 가죽 토시,어댑터블 투톤 링,굴착 강화 파츠,생명이 깃든 초록빛 액체,시각의 관점,
4097,SenSeGhost,prey,"33,088",7b5d654ec93c3e3e10788cbf3bdbf37a,SenPo,37.0,33.0,25.5,31.9,,,,,,,,,,,,,
4098,벨이븐,hilder,"33,088",24f5c554952f898575f446c2c99eabd7,Arbelest,38.0,54.0,31.7,36.5,,,,,,,,,,,,,
4099,코카콜라O,diregie,"33,088",2422dc90becf74e5c3d6af9edcaea319,뿌에에ㅤㅇㅔㅋ,36.0,44.0,25.0,31.0,,,,,,,,,,,,,
4100,하롱챠,cain,"33,088",2fc97184155c0a9236fdefebc44e8c77,하롱쟝,38.0,170.0,27.1,29.2,,,,,,,,,,,,,
4101,근성웨펀,prey,"33,088",bf1de7fc287d9cd022c598cf01ae6cae,파파이스,39.0,133.0,27.8,29.6,,,,,,,,,,,,,
4102,Test133,cain,"33,088",ba5c8a671b63863ff4daed73bfddf81b,천박한년들,36.0,34.0,37.4,33.4,근원을 삼킨 둔기,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,잊혀진 기록,폭풍을 삼킨 에너지,
4103,속죄안의범죄,cain,"33,088",a8845aa24c3178bf3914d1dcc47580b1,범죄안의속죄,39.0,89.0,37.3,34.6,,,,,,,,,,,,,
4104,일단앉아봐,bakal,"33,088",dc75bfa1023f4c11617cbd4de2c97098,구름의노래,39.0,39.0,34.6,36.2,근원을 삼킨 자동권총,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,잊혀진 기록,폭풍을 삼킨 에너지,
4105,뚝배기스매셔,diregie,"33,088",e42ee3fa9848dd114de089e0c98174d6,bullmin,38.0,169.0,46.6,43.6,근원을 삼킨 둔기,어릴적 꿈꿔온 무대,화려한 청색의 음율,라이트 어댑터 팬츠,소망을 전하는 편지,음율에 담은 소망,잔잔한 선율,오랜 시간 품어온 소원,원터치 스마트 리모콘,꿈같은 환호성,두근거리는 열정,인력의 법칙,
4106,칼싸개웅이,siroco,"33,088",491aaa19e87be84d2c0c06fc94e7c4ef,케웅이,41.0,59.0,25.4,30.5,근원을 삼킨 도,얼티밋 제너레이터,끝을 바라보는 시선,라이트 어댑터 팬츠,천재 기술자의 두터운 보호부츠,천재 기술자의 멀티툴 벨트,잠겨진 영역,흑화의 구속 팔찌,어댑터블 투톤 링,생명의 근원이 담긴 배낭,억류된 혼의 령주,타락한 영혼,금룡 : 무한한 빛의 결계
4107,임구구구,hilder,"33,087",4b8752407c1fbb4db21584f07a7a5243,디지몬친9,38.0,57.0,29.3,27.6,,,,,,,,,,,,,
4108,튀보,bakal,"33,087",3ffdfd9f54ac0e8b73633edda6ceb3e6,튀보,38.0,169.0,25.7,31.0,,,,,,,,,,,,,
4109,러블리케잉,cain,"33,087",525f776e7bd825ddecff3dc9a90ed44a,리버스퀘어,38.0,116.0,17.3,31.9,근원을 삼킨 염주,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,무뎌지는 둔화된 변화,어댑터블 투톤 링,굴착 강화 파츠,어둠을 먹는 심장,폭발형 : 소형 전술 플레어,금룡 : 무한한 빛의 결계
4110,격리유지,casillas,"33,087",3bf736cf6ec6484e60c6911f763c5bf9,초보복귀,37.0,104.0,25.9,22.3,,,,,,,,,,,,,
4111,o오브라o,casillas,"33,087",7a7eb172d2ab9fdee5d370b6db26f2fb,복권번호,38.0,124.0,24.6,30.4,근원을 삼킨 봉,블루 베릴 아머,아픔을 감싸는 위엄,평화를 수호하는 윙 레깅스,과거를 뒤로 한 전진,파괴된 신념,고양된 분노의 목걸이,흑화의 구속 팔찌,어댑터블 투톤 링,굴착 강화 파츠,평화를 위한 투쟁,폭발형 : 소형 전술 플레어,
4112,산개왕,cain,"33,087",7f194dd9bd38c5c2f59522c84cc7bab9,요시자와카스미,40.0,24.0,17.9,27.3,,,,,,,,,,,,,
