,urname,svname,rkpo,characterId,adventurename,adventurelevel,resist,physical_defense,magical_defense,weapon,jacket,shoulder,pants,shoes,waist,amulet,wrist,ring,support,magicstone,earring,fusion ring
0,Op.G-Pop,cain,"33,324",3c4d1ab1292aa13bc0982caed99308b3,GSPFlugel,36.0,-11.0,25.6,30.9,결전의 빗자루 - 마도학자,엔트 정령의 상의,매니퓰레이션,딥 다이버 팬츠,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,잊혀진 기록,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
1,슨사월4,anton,"33,324",4d359be20b9f593effac24335a4f50b4,슨사월,37.0,126.0,24.2,29.3,,,,,,,,,,,,,
2,소환사鄭,cain,"33,324",4c0caf4a197ebdc62ec522358dda77e4,봄쌀,40.0,36.0,23.2,32.3,,,,,,,,,,,,,
3,나에라,cain,"33,324",09ed2c8204ec90e68f8198e7534dd3af,발두크,36.0,14.0,44.1,49.5,근원을 삼킨 자동권총,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,완성형 동력 제어장치,폭풍을 삼킨 에너지,
4,-육도윤회-,casillas,"33,324",0b56682e7e49da4fbccd9c7f5c0152bf,whennn,43.0,135.0,21.8,29.9,,,,,,,,,,,,,
5,시누라마,siroco,"33,324",17e3ee3a17ef215a6d8d113ed4303eb6,자비로운나에게,1.0,53.0,28.2,33.0,,,,,,,,,,,,,
6,순혈꽃,hilder,"33,324",004e82f8ec7568022f382af3f62dbda2,붉은꽃별,39.0,151.0,26.3,31.1,근원을 삼킨 창,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,무뎌지는 둔화된 변화,어댑터블 투톤 링,굴착 강화 파츠,거짓 속의 거짓,아크로매틱 룸버스,
7,이프제로,cain,"33,324",1deb4048b069d422cb4ed77e498b7698,나뭇잎이프,39.0,79.0,37.7,39.3,근원을 삼킨 장도,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
8,라즈베리식빵,prey,"33,324",1c88fe10cf4a038e2aec745eaa0d91d5,나만의빵집,39.0,109.0,37.4,33.3,,,,,,,,,,,,,
9,어른의속사정,hilder,"33,324",d65ab20ce492a46dbffdf98315317ead,강마녹,37.0,36.0,32.0,29.4,,,,,,,,,,,,,
10,난사먹는렌져,cain,"33,324",c3b3b2018ef4e177854989097bfe485b,아름다운모험단,39.0,89.0,32.1,36.5,,,,,,,,,,,,,
11,탕세포,anton,"33,324",bba3f5cf83fb54d7ccd449ed9a1969a2,세포분열,37.0,89.0,40.5,45.7,근원을 삼킨 자동권총,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,아크로매틱 룸버스,
12,범순대,cain,"33,324",6e951f72325fcb2fcd582dc47a7e9e94,뿡수,35.0,89.0,33.3,34.1,,,,,,,,,,,,,
13,핵같데?,cain,"33,324",71631dce9dcf7ca275b7d0d9ed7f2636,앍큼,40.0,39.0,30.9,26.9,,,,,,,,,,,,,
14,딤유나,cain,"33,324",fbe8912afc87087fd4bc1c822a28d3ca,유나의거리,40.0,44.0,35.2,34.1,결전의 낫 - 미스트리스,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,잊혀진 기록,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
15,냥살대엘마,cain,"33,324",f9d78caa451b5d99f58c878a0cbe6be3,e2435334,31.0,102.0,17.1,27.5,,,,,,,,,,,,,
16,옹첸트리스,cain,"33,324",eccae17683b23786071a4f686ffe93ca,옹해적단,43.0,153.0,31.7,30.6,결전의 빗자루 - 인챈트리스,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,파워 네비게이트 팩,고통의 상처,생명이 담긴 잔,승리가 약속된 시간,황혼의 성단,금룡 : 무한한 빛의 결계
17,RuiSaotome,bakal,"33,324",f3610e212921ae94323e65c2c6e2ff40,SannomiyaTsubaki,38.0,131.0,44.3,41.6,결전의 빗자루 - 인챈트리스,어릴적 꿈꿔온 무대,화려한 청색의 음율,지치지 않는 여정의 하의,소망을 전하는 편지,음율에 담은 소망,잔잔한 선율,오랜 시간 품어온 소원,뚜렷해지는 소멸된 사념,꿈같은 환호성,두근거리는 열정,시각의 관점,
18,유메짱,prey,"33,324",957db899263c476a0d5bc27b1756b9b9,방황소년단,29.0,100.0,26.3,34.3,,,,,,,,,,,,,
19,공이베,anton,"33,323",9ccb0544109fe79bb042801f24b4ab7e,파이네플,41.0,24.0,39.4,36.1,,,,,,,,,,,,,
20,죡삭이웨펀,siroco,"33,323",9fd7e2c0ee21595fa2bca6a2d4dbcc3e,쌈닭홍이,39.0,6.0,27.6,29.5,,,,,,,,,,,,,
21,본부장,anton,"33,323",a26aac8d133b074698c26c4b2c4b77cf,달빛아래피는꽃,41.0,86.0,30.8,34.3,근원을 삼킨 광검,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,작은 풀잎의 순수함,뚜렷해지는 소멸된 사념,굴착 강화 파츠,어둠을 먹는 심장,결전의 광검 - 베가본드,금룡 : 무한한 빛의 결계
22,래밍챠,anton,"33,323",8fa9cde89832b3a9d81cc932448e7ffe,YILI,40.0,54.0,37.1,36.4,,,,,,,,,,,,,
23,화뱅,cain,"33,323",bbc61beded7956cdf8104e1aba7b6369,화화화화,39.0,89.0,29.4,35.2,,,,,,,,,,,,,
24,도리도리어택,cain,"33,323",1c62dc7e4adf9fd518429a3b7781977f,심심군단,31.0,44.0,25.6,33.9,,,,,,,,,,,,,
25,HEY.NE,anton,"33,323",40b97d4da032d21b8354c221142af3c0,소주연,38.0,69.0,24.5,26.6,,,,,,,,,,,,,
26,후니본캐,bakal,"33,323",493615a47903c6db67d08af4e8c59cdb,후Ll네,39.0,29.0,26.0,29.3,,,,,,,,,,,,,
27,뉴비챙겨줘요,casillas,"33,323",4747aa4d0f27e15639a7a8ef1efd0c29,우리같이즐겨요,20.0,44.0,28.5,29.9,,,,,,,,,,,,,
28,영감미안해요,casillas,"33,323",03946493a153d46aa04e7f006795489c,뉴비바둑이,4.0,54.0,30.8,32.4,,,,,,,,,,,,,
29,사령삭삭이,hilder,"33,323",cfce23c00fd604ec23aa361012a6575b,삭삭이,41.0,44.0,35.4,36.7,근원을 삼킨 완드,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,절망의 발소리,파워 플랜트,검은 별,억제된 마력의 팔찌,어댑터블 투톤 링,파괴된 생명,잊혀진 기록,폭풍을 삼킨 에너지,
30,버퍼주농이,casillas,"33,323",f3f8ed7930f8ca122f708096f8850b82,호미스피자,29.0,116.0,29.5,27.6,,,,,,,,,,,,,
31,날개레이븐,diregie,"33,323",f6f37a522acb99a6823ce210c8021171,검붉은날개,41.0,114.0,29.0,33.6,근원을 삼킨 리볼버,리버시블 레더 코트,매니퓰레이션,깨지지 않는 빛바랜 신념,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,옵티컬 컴뱃 글래스,승리가 약속된 시간,폭풍을 삼킨 에너지,천계 연합군 : 밝게 빛나는 희망
32,곰탱이인챈,diregie,"33,323",dc695fc4460740d7999ec89b2c467559,탈던1일차,40.0,44.0,21.4,7.8,,,,,,,,,,,,,
33,싱나는문좌,cain,"33,323",fc9fac3eb654111f492f4166822399e8,싱나는모험,33.0,89.0,32.3,36.0,,,,,,,,,,,,,
34,ImperialHigh,bakal,"33,323",e1bdef154a10252404a94ce85dd67009,돌창이간다,23.0,37.0,33.9,33.7,,,,,,,,,,,,,
35,또도윤12,bakal,"33,323",86106894eaa87e4d0c0024d85519d262,또도윤,41.0,54.0,37.8,36.4,,,,,,,,,,,,,
36,슈거어설트,hilder,"33,323",863ec89b76b557f68dd357cfe879b146,설탕한봉지,36.0,183.0,24.4,26.4,결전의 자동권총 - 어썰트,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,파워 네비게이트 팩,고통의 상처,생명이 담긴 잔,승리가 약속된 시간,폭발형 : 소형 전술 플레어,금룡 : 무한한 빛의 결계
37,유부연어초밥,cain,"33,323",766433ef56df1ee1ee432c776456d0ae,유부식당,40.0,109.0,31.4,33.1,,,,,,,,,,,,,
38,여귀검도냉면,cain,"33,322",6f225ca45222e4965e33815273f5c93d,냉면성애자,39.0,79.0,24.2,29.1,,,,,,,,,,,,,
39,큭윽블레,casillas,"33,322",766c70360349b89632dfba2faafe2b98,큭윽님,39.0,86.0,24.0,28.8,,,,,,,,,,,,,
40,챔피네요,cain,"33,322",71fe6be2d3fcbd7c2d27e5654c431e44,따비닝,40.0,39.0,31.0,33.0,,,,,,,,,,,,,
41,EY-13,cain,"33,322",ceea2d4218e2966cbbaac480d921d56a,EY,45.0,45.0,31.8,33.0,,,,,,,,,,,,,
42,Gandhi,cain,"33,322",d0373fa91954fa13f21e4189c979d839,롯데리아Good,38.0,54.0,39.4,37.7,결전의 십자가 - 크루세이더(남),고귀한 신의,주체할 수 없는 낡은 규칙,언리밋 사이버네틱,내딛는 용기,쿨링 서포트 벨트,폭룡왕의 지배 - 공포,생명이 담긴 가죽 토시,뚜렷해지는 소멸된 사념,굴착 강화 파츠,생명이 깃든 초록빛 액체,시각의 관점,흑룡 : 끝없는 암흑의 굴레
43,막지어버려,prey,"33,321",d1ddc69adead25ca7068a26ee7629f33,빈이가족,41.0,74.0,31.5,26.8,,,,,,,,,,,,,
44,키퍼배스,diregie,"33,321",aaec0ba26545d6affc82f7cc7637bcc4,전투낚시,39.0,14.0,35.8,41.7,,,,,,,,,,,,,
45,로그무늬,hilder,"33,321",b0e8ad1b7070e98835089ae412a4434b,호랑무늬,39.0,75.0,26.1,34.7,,,,,,,,,,,,,
46,웨,siroco,"33,321",b6ac3cf47d1e8dee2c19d3250aa8c223,빅야근맨,40.0,161.0,34.8,31.4,,,,,,,,,,,,,
47,피나는다이공,cain,"33,321",236c9eb64d0fb4d44d71ae1adbe6af1c,다이공,38.0,89.0,35.2,33.4,,,,,,,,,,,,,
48,Shooter™,cain,"33,321",21041c3e0a6b630ce4cd4b82df6685cc,썸타는계절,39.0,54.0,42.0,41.2,근원을 삼킨 핸드캐넌,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,옵티컬 컴뱃 글래스,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
49,숨어라!,prey,"33,321",1ff4b9586f27db5e76278691691a2f23,북두칠성,42.0,4.0,25.9,32.5,,,,,,,,,,,,,
50,박지민.,diregie,"33,321",6a10c7d2f6c6a451772140c658c04c7e,고윤정예쁘다,36.0,39.0,35.3,36.2,,,,,,,,,,,,,
51,Sense.핌,prey,"33,321",5a5f39e58b78bb47298697371339cccb,Sense86,37.0,34.0,32.0,27.6,,,,,,,,,,,,,
52,자두Juice,cain,"33,321",68e02bb9e97dc533ad0a496b5d24fa76,과일Juice,41.0,111.0,38.0,33.9,근원을 삼킨 둔기,하이테크 전술지휘 아머,하이테크 바디 프로텍트 숄더,라이트 어댑터 팬츠,일렉트릭 프루프 부츠,파괴된 신념,기품의 금빛 장신구,찬란한 금장 팔찌,에너지 서치 링,옵티컬 컴뱃 글래스,피어오르는 광기,눈물이 스민 보석,
53,회영,diregie,"33,321",5983510840e41d8defde4c931555f508,Oduk,37.0,116.0,27.4,25.8,결전의 핸드캐넌 - 런처(여),흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,작은 풀잎의 순수함,서드 스페이드 - 데스,용살자의 증표 - 용골 뿔피리,거짓 속의 거짓,폭발형 : 소형 전술 플레어,
54,Cstrike1.6,diregie,"33,321",06f13d8e4a7ea8e6b1b0ffdb6eb9e3ea,ㅤㅁㅏㄽ,38.0,64.0,28.6,34.4,근원을 삼킨 너클,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,옵티컬 컴뱃 글래스,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
55,홀황경,diregie,"33,321",0f587ccf0e50ea8bbcd6c446d4738645,개나쁜,41.0,203.0,22.0,27.7,근원을 삼킨 광검,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,파워 네비게이트 팩,고통의 상처,굴착 강화 파츠,자연에 녹아드는 이슬,근원을 삼킨 광검,금룡 : 무한한 빛의 결계
56,용발싸대기,diregie,"33,321",13bde6feeaeb041e1d07c522c82d16b5,용치기,37.0,146.0,27.4,28.9,,,,,,,,,,,,,
57,조동빠리,cain,"33,321",9663c2aa57fa503af0f567b25918d769,tjsfdn07,37.0,29.0,31.9,33.1,,,,,,,,,,,,,
58,매혹의그림자,cain,"33,321",8e694775eea02869553972e1eb01687d,반대과정이론,44.0,84.0,8.2,6.2,,,,,,,,,,,,,
59,자몽저,cain,"33,321",8b6ab7af735142acd407211ca0bc7cd7,자몽단,37.0,54.0,30.9,32.7,,,,,,,,,,,,,
60,P니실리,cain,"33,321",8829b4e374d91a52eb7d67bb4de6a038,니실리,40.0,77.0,33.9,33.5,,,,,,,,,,,,,
61,파스텔가든,anton,"33,320",bc940c9ebd17ab1a4ecb4537eea8d853,양념치킨조,40.0,161.0,22.2,31.2,,,,,,,,,,,,,
62,꿀요거트,prey,"33,320",a78d26281e724cc19f0698892d75c2f4,지나가는백수,36.0,74.0,31.7,26.6,,,,,,,,,,,,,
63,켈베로스치킨,casillas,"33,320",5a05dd6c4e48a02a5659e4c6e5cb863f,던린이전문가,39.0,13.0,21.3,30.4,,,,,,,,,,,,,
64,슬무],cain,"33,320",5d9d9b5db03925dc6963f892df6a1409,슬무,37.0,207.0,33.3,39.2,근원을 삼킨 로드,어릴적 꿈꿔온 무대,화려한 청색의 음율,드래곤 라이더,소망을 전하는 편지,음율에 담은 소망,잔잔한 선율,오랜 시간 품어온 소원,골드 윙 반지,꿈같은 환호성,두근거리는 열정,타락한 영혼,천계 연합군 : 밝게 빛나는 희망
65,왕기대장군,cain,"33,320",5bdae836dd33f21b7bb9b313f6caa459,인생은대호처럼,40.0,89.0,33.1,34.6,,,,,,,,,,,,,
66,보험왕고라니,cain,"33,320",4218a825a5e280bd45d7324f741afdef,보험사기고라니,1.0,54.0,28.3,33.2,,,,,,,,,,,,,
67,몇동,diregie,"33,320",919735a007019c6c4987de3e0d0f6398,ㅤㅁㅕㅈ,38.0,139.0,33.9,37.1,,,,,,,,,,,,,
68,봉탁~,cain,"33,320",79485d478b042b8a98363f3058416d0d,갸노잼,41.0,108.0,34.6,37.2,,,,,,,,,,,,,
69,HOT태양,hilder,"33,320",7023a8f632a15c7a9a3f79a7bd8e487e,죽음의냥이,38.0,44.0,25.1,30.5,,,,,,,,,,,,,
70,샛별츄,prey,"33,319",6ec9bc5486320b005454a5bf6cd97303,야비패밀리,41.0,185.0,30.2,31.8,,,,,,,,,,,,,
71,석전문주,prey,"33,319",a57fd0ae1fbcd9a8552422990bbe5c5e,근본있는남자,37.0,-1.0,34.0,33.5,,,,,,,,,,,,,
72,聖暗神,prey,"33,319",a7124089927753ba77bf8611482bb78b,내일의,39.0,44.0,32.6,30.3,,,,,,,,,,,,,
73,행운몽,casillas,"33,319",aca64d531aeb6f1a8bf83c5cc2e98c12,웃는피카츄,32.0,4.0,23.8,32.4,결전의 스태프 - 소환사,쉐도우블랙 슈트,끝을 바라보는 시선,옥화의 망령 대퇴갑,천재 기술자의 두터운 보호부츠,천재 기술자의 멀티툴 벨트,고양된 분노의 목걸이,생명이 담긴 가죽 토시,어댑터블 투톤 링,옵티컬 컴뱃 글래스,저주받은 마음,아크로매틱 룸버스,
74,2017.07.27,anton,"33,319",1f49d62becbd9428226ea46c60d2a853,에무,40.0,74.0,38.0,33.9,,,,,,,,,,,,,
75,파동캐,cain,"33,319",fc351ed6f1a2ee0d54b44ce9080fbc74,dmdma1,22.0,187.0,32.3,29.6,근원을 삼킨 도,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,폭룡왕의 지배 - 무력,뚜렷해지는 소멸된 사념,생명이 담긴 잔,자연에 녹아드는 이슬,폭발형 : 소형 전술 플레어,금룡 : 무한한 빛의 결계
76,1분의N,cain,"33,319",e05c82ee0c09589443ac869871bedba4,Arson,40.0,39.0,32.8,36.4,근원을 삼킨 빗자루,리버시블 레더 코트,매니퓰레이션,언리밋 사이버네틱,절망의 발소리,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,엔트 정령의 성배,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
77,응군소울,diregie,"33,319",f57361a609e2b6f1da46ff5c5b5b7fe2,고운이름2243,39.0,109.0,17.6,28.5,,,,,,,,,,,,,
78,§폭주천사§,diregie,"33,319",0d8b85fb0014504b2040df1a7a434295,전웨협협회장,39.0,151.0,18.1,31.0,,,,,,,,,,,,,
79,김치베가본드,bakal,"33,319",0ca3049934ac32e6281dcdab664098be,바람도리빙교리,39.0,89.0,25.5,30.1,,,,,,,,,,,,,
80,탐브흑노예,cain,"33,319",d76efb7897e12f6db801743b9d080b74,킹호원,38.0,76.0,31.8,29.4,근원을 삼킨 도,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,무뎌지는 둔화된 변화,뚜렷해지는 소멸된 사념,내면의 얼굴,완성형 동력 제어장치,폭발형 : 소형 전술 플레어,
81,앞집화송,cain,"33,319",c27321adacb8efd96f065e38030d4548,검지랑이,40.0,54.0,29.1,33.6,,,,,,,,,,,,,
82,기혀니기여웡,cain,"33,319",d24c956e336a95d8290ff7d9548fccd6,기혀니내꼬사랑햇,40.0,64.0,33.9,29.9,결전의 십자가 - 크루세이더(남),쉐도우블랙 슈트,주체할 수 없는 낡은 규칙,언리밋 사이버네틱,내딛는 용기,쿨링 서포트 벨트,잠겨진 영역,생명이 담긴 가죽 토시,어댑터블 투톤 링,굴착 강화 파츠,생명이 깃든 초록빛 액체,폭발형 : 소형 전술 플레어,금룡 : 무한한 빛의 결계
83,그대의한마디,cain,"33,319",d0c9cb3bfe54af3357c964fd4f7c2db0,하나의사랑,38.0,138.0,27.5,29.6,,,,,,,,,,,,,
84,김승수쉽새기,cain,"33,319",cf1b53bd78902926d0b03f9c9c12abba,MUND0,40.0,-26.0,31.0,28.4,근원을 삼킨 낫,엔트 정령의 상의,블랙 캣 헬멧,벤타블랙 팬츠,검은 발자국,가이드 라인 벨트,고양된 분노의 목걸이,미니어쳐 헤드셋 암릿,골드 윙 반지,옵티컬 컴뱃 글래스,지상형 : 전술 차륜 드론,아크로매틱 룸버스,화룡 : 타오르는 불의 분노
85,크붕,diregie,"33,319",ce47e7bf25fbaf4e861c38b2829b055c,꿈찾은꿀벌,41.0,74.0,31.1,28.3,,,,,,,,,,,,,
86,세웅_,prey,"33,319",6afa19d924be1e9942d5e098129676ff,천대만상,38.0,44.0,27.8,31.8,근원을 삼킨 자동권총,천재 기술자의 전문 작업복 상의,끝을 바라보는 시선,언리밋 사이버네틱,천재 기술자의 두터운 보호부츠,천재 기술자의 멀티툴 벨트,고양된 분노의 목걸이,생명이 담긴 가죽 토시,어댑터블 투톤 링,생명의 근원이 담긴 배낭,미니 배터리 팩,부스팅 펄스 튜브,
87,상딸장인금성,anton,"33,319",3bfd402a874205668bc4a402c256ebdd,금성스칠드런,24.0,54.0,36.2,40.1,근원을 삼킨 리볼버,리버시블 레더 코트,매니퓰레이션,로보티카 컴뱃 팬츠,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
88,부기원더랜드,bakal,"33,318",0e08ce915087e3fdee2754eb1bcbd5ea,정제두강화학파,37.0,161.0,28.7,33.3,근원을 삼킨 보우건,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,작은 풀잎의 순수함,뚜렷해지는 소멸된 사념,굴착 강화 파츠,거짓 속의 거짓,폭발형 : 소형 전술 플레어,금룡 : 무한한 빛의 결계
89,흩어지는달빛,anton,"33,318",2f263c22668d681825c7c30bfeb346e2,유맹구패밀리,39.0,44.0,30.5,31.7,,,,,,,,,,,,,
90,똘킹크루,diregie,"33,318",888bbedc99731b41556438c3fe038945,버퍼2,37.0,44.0,32.2,29.3,,,,,,,,,,,,,
91,스도미,prey,"33,318",ae07e54bac86cc8741e37d6f5dcf0cc0,그림시즈,41.0,59.0,24.8,30.1,,,,,,,,,,,,,
92,Ange-슈아,cain,"33,318",b25621b9f6138ffe2fa16683f5266da0,Ange모험단,38.0,54.0,30.7,35.3,,,,,,,,,,,,,
93,아이리칸나☆,prey,"33,318",b29ff8d9e6e8efe05acec9051beec165,풍월의혼,42.0,44.0,26.2,34.5,,,,,,,,,,,,,
94,검마의팬티,hilder,"33,318",dcdb865bbfe71126657de281d86a77b8,팬티다이스키,35.0,4.0,28.2,26.4,,,,,,,,,,,,,
95,89만원세대,casillas,"33,318",df2b0bef1f2bda80ddd20bc9054273b5,Neverwas,45.0,89.0,33.4,34.1,,,,,,,,,,,,,
96,유체이탈자,anton,"33,318",e829d7067a146614415c0b9a89280cc0,잠신,40.0,84.0,41.9,39.9,결전의 도 - 다크템플러,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,
97,이거어려워요,siroco,"33,318",e5d1269a9227212e39288d2fa2e89c87,마그토늄0,18.0,14.0,35.2,32.9,,,,,,,,,,,,,
98,다용도번개,cain,"33,318",5284e28069b08910ccf48fb344c9b30f,오날춥따옷입,37.0,44.0,35.7,33.2,,,,,,,,,,,,,
99,그대뿐인지,casillas,"33,318",5ee16a57df4599b677cc4c1598e87103,모퍼단,41.0,86.0,27.9,30.1,근원을 삼킨 장창,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,작은 풀잎의 순수함,뚜렷해지는 소멸된 사념,용살자의 증표 - 용골 뿔피리,거짓 속의 거짓,폭발형 : 소형 전술 플레어,금룡 : 무한한 빛의 결계
100,무인승강기,cain,"33,318",9195d2e71bc7a2f52cc254deae969101,pollapo,40.0,14.0,35.4,33.4,,,,,,,,,,,,,
101,핑크子,prey,"33,318",94003fdfe6fbccb9f366f6666a031b2e,야비패밀리,41.0,149.0,29.0,33.8,,,,,,,,,,,,,
102,RoriIsland,diregie,"33,318",960c14f4213a8104c504e96f5b17d4e6,크고알흠다운막대,40.0,89.0,32.2,36.8,,,,,,,,,,,,,
103,브읍딱뭉이,hilder,"33,318",d49e5467023cfb867b3b0883131158ee,뭉이군단,37.0,54.0,42.3,39.1,결전의 빗자루 - 인챈트리스,고귀한 신의,주체할 수 없는 낡은 규칙,로보티카 컴뱃 팬츠,내딛는 용기,쿨링 서포트 벨트,잠겨진 영역,생명이 담긴 가죽 토시,어댑터블 투톤 링,굴착 강화 파츠,생명이 깃든 초록빛 액체,시각의 관점,흑룡 : 끝없는 암흑의 굴레
104,사냥함,siroco,"33,318",c6ce85e9f8c319fd1d44ace9813ddd66,소홀함,40.0,76.0,25.3,30.2,결전의 소태도 - 요원,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,폭룡왕의 지배 - 무력,뚜렷해지는 소멸된 사념,굴착 강화 파츠,거짓 속의 거짓,폭발형 : 소형 전술 플레어,
105,사자후크아앙,cain,"33,317",db87844b5a77969a1088c7f9ac1356ad,Angelus,41.0,44.0,19.2,27.0,,,,,,,,,,,,,
106,누가바메로나,cain,"33,317",bdd73c381995e4397b62ade1bf611112,제3모험단,39.0,171.0,34.8,31.0,,,,,,,,,,,,,
107,뾰족한련,cain,"33,317",20ef2344305eff23a63eba7678f37670,꽃이리,37.0,88.0,25.0,33.2,,,,,,,,,,,,,
108,스텔라론,cain,"33,317",83fc588f7fe5c1198f8baf419a072bc1,화추,40.0,24.0,29.0,34.2,,,,,,,,,,,,,
109,요이츠,hilder,"33,317",fd1516aefc1965810904d02c08a58029,다즈비채고시다,36.0,156.0,35.1,29.4,,,,,,,,,,,,,
110,홀리3호환자,diregie,"33,317",f1b847094bab0f8efd5ac1b977c467a8,환자팸,40.0,79.0,41.0,36.1,,,,,,,,,,,,,
111,투아네트,bakal,"33,317",595ee75eb2b0a9ded1eaf8e9cb6cb6fd,ㅡ엘리시아ㅡ,37.0,74.0,34.1,33.8,근원을 삼킨 소검,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,주인의 각인,흑룡 : 끝없는 암흑의 굴레
112,거짓을아는자,cain,"33,316",5d215f9b1a7134dc874556d31ead67f6,은빛용병,45.0,4.0,28.1,29.8,결전의 쌍검 - 로그,드래곤 슬레이어,매니퓰레이션,악몽을 이겨낸 승전보,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,옵티컬 컴뱃 글래스,잊혀진 기록,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
113,유자얼음,cain,"33,316",4e0e24778399b69958a8b67333c97c73,도끼,40.0,89.0,37.2,41.0,,,,,,,,,,,,,
114,항아리검사,diregie,"33,316",450c658ac97852799786bad5a774ee38,아롬,38.0,161.0,36.5,34.2,근원을 삼킨 도,흙으로 빚은 자연,피어나는 자연의 삶,로보티카 컴뱃 팬츠,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,작은 풀잎의 순수함,뚜렷해지는 소멸된 사념,옵티컬 컴뱃 글래스,용살자의 증표 - 용심 가공석,인력의 법칙,금룡 : 무한한 빛의 결계
115,ㅣ시아ㅣ,prey,"33,316",381f003f68b26b456f22c6406d665a13,R시아,38.0,89.0,39.3,42.3,근원을 삼킨 권투글러브,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,완성형 동력 제어장치,폭풍을 삼킨 에너지,
116,김굽다불낸년,cain,"33,316",051acaf50cd97f35202ae42afce41d27,리스,40.0,84.0,42.5,41.4,,,,,,,,,,,,,
